number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
269,Washington Post,"The Washington Post (1877-current) is a daily newspaper founded by Stilson Hutchins out of Washington, D. C.; it was originally used to promote the Democratic Party, but it had dropped political associations by 1888. Frank Hatton and Beriah Wilkins bought the Washington Post in 1889, increasing the reputation and circulation of the paper. They hired John Philips Sousa to write the ""Washington Post March"" for an essay contest that they sponsored The Washington Post had a circulation of about 16,000 every day and 20,000 weekly during the l890s. In 1905, the paper was sold to John R. McLean, who printed many sensational stories. Today, the Washington Post is one of the nation’s leading newspapers and has won over 40 Pulitzer Prizes.","Editors of the Encyclopedia Britannica, ""The Washington Post,"" Encyclopedia Britannica, accessed July 4, 2016. John Kelly, ""Answer Man: The Melodious Newspaper,"" The Washington Post, July 26, 2004, accessed July 4, 2016. ""The Washington Post Company,"" Encyclopedia.com, last updated 2006, accessed July 4, 2016.",Tinsley1901,newspaper-article,"Tinsley, Henry G.","""Island of Mystery. San Nicolas, One of the Channel Islands, Pacific Coast. Little Of It Known to World.""",,"9,255",13,October,1901,1901-10-13,,"Washington, DC",
269,Washington Post,"The Washington Post (1877-current) is a daily newspaper founded by Stilson Hutchins out of Washington, D. C.; it was originally used to promote the Democratic Party, but it had dropped political associations by 1888. Frank Hatton and Beriah Wilkins bought the Washington Post in 1889, increasing the reputation and circulation of the paper. They hired John Philips Sousa to write the ""Washington Post March"" for an essay contest that they sponsored The Washington Post had a circulation of about 16,000 every day and 20,000 weekly during the l890s. In 1905, the paper was sold to John R. McLean, who printed many sensational stories. Today, the Washington Post is one of the nation’s leading newspapers and has won over 40 Pulitzer Prizes.","Editors of the Encyclopedia Britannica, ""The Washington Post,"" Encyclopedia Britannica, accessed July 4, 2016. John Kelly, ""Answer Man: The Melodious Newspaper,"" The Washington Post, July 26, 2004, accessed July 4, 2016. ""The Washington Post Company,"" Encyclopedia.com, last updated 2006, accessed July 4, 2016.",TheWashingtonPost1905,newspaper-article,,"""Story of a Woman Crusoe.""",,,2,July,1905,1905-07-02,,"Washington, DC.",
270,"Watkins (Watkins Glen, NY) Express","The Watkins Express (1854-1988) was a weekly newspaper founded by S. M. Taylor out of Watkins Glen (formerly Watkins), New York. Levi M. Gano was the editor in 1877 when the Republican paper had a circulation of 1,450. Schuyler County had a population of 18,928 in 1875. Manufacturing and mining were the main industries during this time, and tourism was growing, especially to Watkins Glen, a natural gorge just outside of Watkins.","""About Watkins express. (Watkins, N.Y.) 1854-1988,"" Chronicling America, accessed April 5, 2016. Hamilton Child, ed., Gazetteer and Business Directory of Chemung and Schuyler Counties, N.Y., for 1868-9 (Syracuse, NY: Journal Office, 1869), accessed April 10, 2016, eBook. History of Tioga, Chemung, Tompkins, and Schuyler Counties, New York (Philadelphia: Everts & Ensign, 1879), accessed April 5, 2016, eBook. Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed April 10, 2016, eBook.",WatkinsExpress1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years.""","25,",41,27,February,1879,1879-02-27,Levi M. Gano,"Watkins Glen, New York",Levi M. Gano
270,"Watkins (Watkins Glen, NY) Express","The Watkins Express (1854-1988) was a weekly newspaper founded by S. M. Taylor out of Watkins Glen (formerly Watkins), New York. Levi M. Gano was the editor in 1877 when the Republican paper had a circulation of 1,450. Schuyler County had a population of 18,928 in 1875. Manufacturing and mining were the main industries during this time, and tourism was growing, especially to Watkins Glen, a natural gorge just outside of Watkins.","""About Watkins express. (Watkins, N.Y.) 1854-1988,"" Chronicling America, accessed April 5, 2016. Hamilton Child, ed., Gazetteer and Business Directory of Chemung and Schuyler Counties, N.Y., for 1868-9 (Syracuse, NY: Journal Office, 1869), accessed April 10, 2016, eBook. History of Tioga, Chemung, Tompkins, and Schuyler Counties, New York (Philadelphia: Everts & Ensign, 1879), accessed April 5, 2016, eBook. Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed April 10, 2016, eBook.",Hardacre1880_WE,newspaper-article,"Hardacre, Emma.","""Eighteen Years Alone: A Tale of the Pacific.""","27,",16,2,September,1880,1880-09-02,Levi M. Gano,"Watkins Glen, New York",Levi M. Gano
271,Ventura (CA) Weekly Free Press,"The Weekly Free Press (1875-1925) was a weekly newspaper founded by O.P. Hoddy out of Ventura, California. The paper changed names in 1894 to the Ventura Free Press. Ventura had a population of 2,320 in 1890.","""About Ventura free press. (Ventura, Calif.) 1894-1925,"" Chronicling America, accessed June 19, 2016. James Miller Guinn, History and Biographical Record of Southern California (Chicago: Chapman, 1902), accessed June 19, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF.",TheWeeklyFreePress1891,newspaper-article,,"""Miles of Human Bones. Discoveries of a Party Who Went to San Nickolas.""","8,",34,28,August,1891,1891-08-28,,"Ventura, California",
273,Auburn (NY) Weekly News and Democrat,"The Weekly News and Democrat (1872-97) is a weekly newspaper founded by the Auburn Printing Company, out of Auburn, New York. William J. Moses was president in 1881 when the paper reached a circulation of 950. Auburn had a population of 21,924 in 1880 and had many industries, including the manufacturing of starch and farm equipment.","""About Weekly news and Democrat. (Auburn, N.Y.) 1874-1897,"" Chronicling America, accessed June 16, 2016.  C.A. Cooke, C.A. Cooke and Co.’s United States Newspaper Directory Revised (Chicago: n.p., 1881), accessed March 22, 2016, eBook.  Cayuga County Historical Society, History of Cayuga County, New York (Auburn, NY: n.p., 1908), accessed June 16, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed June 16, 2016, PDF.",WeeklyNewsAndDemocrat1885,newspaper-article,,"""A Feminine Crusoe. How She Was Abandoned--Eighteen Years on a Desert Island--How She Lived and Dressed.""","14,",27,11,June,1885,1885-06-11,,"Auburn, New York",
280,Weekly Wisconsin,"The Weekly Wisconsin (1847-1900) was a weekly newspaper out of Milwaukee, Wisconsin founded by W.E. Cramer. Cramer and his partner, a man named Curtis, produced the paper throughout most of the nineteenth century. Milwaukee (pop. 20,061), a new trade hub in the 1850s, had a large population of German immigrants.","""About Weekly Wisconsin. (Milwaukee, Wis.) 1847-1900,"" Chronicling America, accessed September 19, 2016. Ellen M. Rohr, ""Milwaukee County Newspapers 1833-1957,"" Milwaukee County, accessed September 19, 2016. ""Milwaukee Timeline,"" Milwaukee County Historical Society, accessed September 19, 2016. ""Survey of Historical Activities,"" Wisconsin Magazine of History 2 (1918-19): 111, accessed September 19, 2016, eBook. U.S. Census Bureau, ""1850 Census,"" accessed September 19, 2016, PDF.",WeeklyWisconsin1853,newspaper-article,,"""A Female Robinson Crusoe,""","7,",no. 26,16,November,1853,1853-11-16,,"Milwaukee, Wisconsin",
318,Charlotte (NC) Western Democrat,"The Western Democrat (1852-81) was founded by Robert P. Waring and Rufus M. Herron out of Charlotte, North Carolina. William James Yates took over the paper in 1857, succeeding John J. Palmer. The Western Democrat was an organ of the Democratic party, and also was a family general interest paper. Charlotte (pop. 2,265 in 1860) was growing in the 1850s because of the newly established railroad.","""About The Charlotte Democrat. (Charlotte, N.C. 1870-1881,"" Chronicling America, accessed October 30, 2016. ""Communication and Transportation,"" Charlotte-Meckleburg Story, Charlotte Mecklenburg Library, accessed October 30, 2016. Edwin H. Mammen, ""Newspapers,"" NCpedia, State Library of North Carolina, 2006, accessed October 30, 2016, http://ncpedia.org/newspapers-part-2-political. Robert M. Topkins, ""Yates, William James,"" NCpedia, State Library of North Carolina, 1996, accessed October 2016. Thomas W. Hanchett, ""The Growth of Charlotte: A History,"" Charlotte-Mecklenburg Historic Landmarks Commission, accessed October 30, 2016, http://www.cmhpf.org/educhargrowth.htm. U.S. Census Bureau, ""1860 Census,"" accessed October 30, 2016, PDF.",WesternDemocrat1857,newspaper-article,"C. J. W. Russell,","""A California Cruise [Crusoe]. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicholas,""",5,no. 33,17,February,1857,1857-02-17,,"Charlotte, North Carolina",William J. Yates; E. A. Yates
275,Wilson (NC) Mirror,"The Wilson Mirror (1881-?) was a Democratic weekly newspaper out of Wilson, North Carolina, a county seat. Henry W. Blount was the editor in the late 1880s, when the paper had a circulation of 1,026. Wilson had a population of 2,126 in 1890 and was known for tobacco; it is located in eastern North Carolina, on the coastal plains.","""About The Wilson Mirr. (Wilson, N.C.) 188?-18??,"" Chronicling America, accessed June 26, 2016. Charles H. Darden High School, The Trojan [1959] (Wilson, NC: n.p., 1959), accessed June 26, 2016, eBook.George P. Rowell & Co.’s American Newspaper Directory (New York: George P. Rowell, 1880), accessed June 26, 2016, eBook. ""The History of Wilson County: An Overview,"" Wilson County, North Carolina, accessed June 26, 2016. L. Branson, Branson’s North Carolina (Raleigh, NC: n.p., 1889), accessed June 26, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",TheWilsonMirror1893,newspaper-article,,"""A Female Crusoe.""","12,",22,6,September,1893,1893-09-06,,"Wilson, North Carolina",
276,Winona (MN) Daily Republican,"The Winona Daily Republican (1859-1901) was a Republican newspaper out of Winona, Minnesota, founded as a joint venture by various stockholders, with Walter G. Dye as business manager. Winona, a mill town, had a population of 10,187 in 1880.","""About The Winona daily Republican. (Winona, Minn.) 1859-1901,"" Chronicling America, accessed 14 March 2016. History of Winona County (Chicago: H. H. Hill and Company, 1883), accessed 14 March 2016, eBook.",Stuart1878,newspaper-article,"Stuart, Absalom B.","""A Female Robinson Crusoe. A Wonderful Romance In Real Life--Eighteen Years Alone On the Island of San Nicholas, ON the Coast of Southern California.""","19,","5,865",30,December,1878,1878-12-30,,"Winona, Minnesota",
278,New York World,"The World (1860-1931) was a daily newspaper founded by Alexander Cummings out of New York. Originally a religious broadside, it switched to Republican affiliations and then to Democratic as it changed owners. Once Joseph Pulitzer acquired the paper, all associations were dropped and the World became entangled in the now famous rivalry with William Randolph Hearst’s New York Journal, ushering in the era of Yellow Journalism. Both papers went to extraordinary lengths to encourage and then cover the Spanish-American War, chartering boats to send reporters to Cuba to cover the story. Though this brought the World’s circulation to 1.5 million, the paper was running a deficit and had to scale back. In 1931, the World merged with the New York Evening Telegram to form the World-Telegram.","Editors of the Encyclopedia Britannica, ""New York World,"" Encyclopedia Britannica, accessed June 29, 2016. Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941), 350-1, 527-38. Jack Shafer, ""The Lost World of Joseph Pulitzer,"" Slate, accessed June 29, 2016.",TheWorld1899,newspaper-article,,"""Expedition to Clear Up the Mystery of the Wild Woman of San Nicolas Island.""","40,","14,012",31,December,1899,1900-01-01,,"New York, New York",
279,Boston Youth's Companion,"The Youth’s Companion (1827-1929) was a weekly magazine founded by Nathaniel Willis out of Boston. The periodical originally had a narrowly religious focus, but once Daniel Sharp Ford took over in 1857, the magazine expanded its content to include various materials and short story serials written by popular writers including Harriet Beecher Stowe, Mark Twain, and Jack London. The changed focus was reflected in the decision to drop the Youth’s from the title. As a general interest family magazine, the Companion still censored its content to avoid references about tobacco and alcohol. It reached a circulation of 385,000 in 1885. It is also credited for being the first to print the Pledge of Allegiance, in 1892.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed February 28, 2016, eBook. John W. Baer, ""The Youth’s Companion Pledge,"" The Pledge of Allegiance, A Revised History and Analysis, 2007 (Annapolis, MD: Free State, 2007), accessed April 17, 2016, eBook.",TheYouthsCompanion1880,newspaper-article,,"""A Female Crusoe.""","53,",40,30,September,1880,1880-09-30,,"Boston, Massachusetts",
