,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
219,San Francisco Daily Herald,"The <i>San Francisco Daily Herald</i> (1850-56) was a Democratic newspaper founded by John Nugent in San Francisco. It was the most popular paper in the city until it printed a pro-Southern article, and its rival, the <i>Alta</i>, got the edge. San Francisco’s population was 30,000 in 1856, but quickly gaining with the gold rush.","""About The San Francisco daily herald. (San Francisco, Calif.) 1850-1856,"" <i>Chronicling America</i>, accessed March 8, 2016.  <i>The Builders of a Great City</i> (San Francisco, San Francisco Journal of Commerce, 1891), accessed March 8, 2016, eBook. ""San Francisco Facilities in the Early 1850’s,"" <i>The Virtual Museum of the City of San Francisco</i>, accessed March 8, 2016.",Santiago1853,newspaper-article,Santiago.,"""From Santa Barbara.""","4,",132,11,October,1853,1853-10-11,"Foy, Nugent & Co.","San Francisco, California",
109,San Francisco Examiner,"The <i>San Francisco Examiner</i> (1865-current) is a daily newspaper out of San Francisco, California. It was founded in 1863 as the <i>Democratic Press</i> and as a Civil War paper, it was a staunch supporter of the Confederate cause. After Lincoln’s assassination, protesters destroyed its offices. The paper was restarted as the <i>Daily Examiner</i> in 1865. George Hearst acquired the paper in 1880, but it was running at a loss until his son, William Randolph, took over in 1887. The junior Hearst’s goal was to acquire a large readership­–including members of the working class–over which he could exert political influence, in part through the technique of yellow journalism. The San Francisco had a population of 298,997 in 1890 and <i>Examiner</i> was the beginning of the Hearst media empire.","Dan Schreiber, ""For the past 150 years, The Examiner has recorded life in The City,"" <i>San Francisco Examiner</i>, last updated June 11, 2015, accessed June 21, 2016. ""Paris of the West,"" <i>SF-info.org</i>, accessed June 21, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 21, 2016, PDF.",SanFranciscoExaminer1892,newspaper-article,,"""Heard About Town."" ","54, ",58,27,February,1892,1892-02-27,,"San Francisco, California",
220,Sanitarian,"The <i>Sanitarian</i> (1873-1904) was a monthly magazine created by Dr. Bell out of New York. Dr. Bell was heavily involved in the American Public Health Association. The magazine focused on the health of the general public, both physical and mental. It had a circulation of 21,000 in 1878.","Frank Luther Mott, <i>A History of American Magazines 1741-1850</i> (Cambridge: Harvard University Press, 1958), accessed 28 February 2016, eBook. <i>Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed April 11, 2016, eBook. Stephen Smith, ""The Practical Sanitarian,"" Agrippa Nelson Bell, ed., <i>The Santiarian</i> (Brooklyn, NY: editor, 1892), accessed April 11, 2016, eBook.",Stuart1880,magazine-article,"Stuart, Absalom B.","""An Indian Woman Eighteen Years Alone on the Island of San Nicolas, off the Coast of Southern California. Physical Condition Good; Recollected Events, but had Lost all Knowledge of the Computation of Time and the Dialect of her Tribe.""","8, ",90,,September,1880,1880-09-01,,"New York, New York",
87,Santa Barbara (CA) Daily Press,"The <i>Santa Barbara Daily Press</i> (1872-1885) is a daily newspaper founded by Joseph Johnson out of Santa Barbara, California. He started the paper with the goals of sparking tourism in the area, promoting the white majority, and transforming the ranches into agricultural areas. Johnson had a fierce rivalry with <i>Santa Barbara Times</i>’ editor Jarrett Richards, especially when it came to the proposed subsidies that would bring the railroad to town. These tensions eventually escalated into a full-blown fistfight, which Johnson lost. General Otis took over the <i>Santa Barbara Daily Press</i> from 1876 to 1880, when Robert D. Bogart came into possession of it. Santa Barbara was increasingly becoming known as a tourist destination by this time.","""About Santa Barbara daily press. (Santa Barbara, Calif.) 1872-85,"" <i>Chronicling America</i>, accessed 21 March 2016. Edward S. Casey and Mary Watkins, <i>Up Against the Wall</i> (Austin, Texas: University of Texas Press, 2014), accessed 21 March 2016, eBook. Hugh J. Mohan, E. H. Clough, and John Paul Cosgrave, <i>Pen Pictures of Our Representative Men</i> (Sacramento, California: H.A. Weaver’s Valley Press Printing House, 1880), accessed 21 March 2016, eBook. <i>National Cyclopaedia of American Biography</i> (New York: James T. White & Company, 1910), accessed 21 March 2016, eBook.Neal Graffy, <i>Historic Santa Barbara</i> (San Antonio, Texas: Historical Publishing Network, 2010), accessed 21 March 2016, eBook. ""The Railroad War,"" <i>Price, Postel & Parma LLP</i>, accessed 21 March 2016.","Stuart1879_Jan28
Stuart1879_Jan29
GFM1881
Rawlins1881_Jul27
Rawlins1881_Nov17
Blanco1882","newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article","N/A
N/A
M., G. F. 
Rawlins, J. H. 
Rawlins, J. H. 
Blanco. ","""A Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life---Eighteen Years Alone on the Island of San Nicolas, on teh Coast of Southern California."" 
""A Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life---Eighteen Years Alone on the Island of San Nicolas, on teh Coast of Southern California."" 
""An Earthly Paradise. A Stranger's View of Santa Barbara, and Her Surroundings. 
""The Heroine of San Nicholas. A Woman's Life for Eighteen Years on a Desert Island. A Modern Fact More Marvelous Than the Time-Honored Fiction of Robinson Crusoe."" 
""The Heroine of San Nicholas. A Woman's Life for Eighteen Years on a Desert Island. A Modern Fact More Marvelous Than the Time-Honored Fiction of Robinson Crusoe."" 
""Santa Barbara. A Visitor's Views Regarding Its Climate and Attractions."" ","7, 
7, 
9, 
9, 
10, 
10, ","162
163
162
263
41
121","28
29
13
27
17
23","January
January
April
July
November
February","1879
1879
1881
1881
1881
1882","Tue Jan 28 1879 07:56:02 GMT+0300 (EAT)
Wed Jan 29 1879 07:56:02 GMT+0300 (EAT)
Wed Apr 13 1881 07:56:02 GMT+0300 (EAT)
Wed Jul 27 1881 07:56:02 GMT+0300 (EAT)
Thu Nov 17 1881 07:56:02 GMT+0300 (EAT)
Thu Feb 23 1882 07:56:02 GMT+0300 (EAT)",,"Santa Barbara, California
Santa Barbara, California
Santa Barbara, California
Santa Barbara, California
Santa Barbara, California
Santa Barbara, California",
221,Santa Barbara (CA) Gazette,"The <i>Santa Barbara Gazette</i> (1855-58) was a weekly newspaper founded by W.B. Keep and R.B. Hubbard out of Santa Barbara, California. Because the town’s population was very small, the paper originally published in both English and Spanish to attract enough readers to stay in business.","""About Santa Barbara gazette. (Santa Barbara [Calif.]) 1855-1858,"" <i>Chronicling America</i>, accessed 10 March 2016. Yda Addis Storke, <i>A Memorial and Biographical History of the Counties of Santa Barbara, San Luis Obispo, and Ventura, California</i>, accessed 10 March 2016, eBook.",SantaBarbaraGazette1856,newspaper-article,,"""The Lone Indian of San Nicolas.""","2,",30,11,December,1856,1856-12-11,W.B. Keep & Co.,"Santa Barbara, California",
223,Santa Barbara (CA) News-Press,"The <i>Santa Barbara News-Press</i> (1932-current) is a daily newspaper founded by Thomas Storke out of Santa Barbara, California; the paper was a merger between the <i>Daily News and Independent</i> (founded by Storke in 1913 and later sold) and the <i>Santa Barbara Morning Press</i> (founded in 1876). The newly created <i>News-Press</i> was then the only daily in the city. In 1962, Storke would becmme a Pulitzer Prize-winning journalist. Santa Barbara had a population of 34,958 in 1940.","John Reginald Southworth, <i>Santa Barbara and Montecito: Past and Present</i> (Santa Barbara, CA: Oreña Studios, 1920), accessed July 18, 2016. Lexi Pandell, ""The Legacy of Thomas M. Storke,"" <i>Daily Nexus</i>, July 31, 2011, accessed July 18, 2016. Neal Graffy, <i>Historic Santa Barbara: An Illustrated History</i>, (San Antonio, TX: Historical Publishing Network, 2010), accessed July 18, 2016, eBook. ""Timeline,"" <i>City of Santa Babara</i>, Last updated February 1, 2016, accessed July 26, 2016. U.S. Census Bureau, ""1940 Census,"" accessed July 26, 2016, PDF.","SantaBarbaraNewsPress1939
SantaBarbaraNewsPress1944
Brantingham1993","newspaper-article
newspaper-article
newspaper-article","N/A
N/A
Brantingham, Barney.","""'Wild' Woman's Homesite Is Located.""
""'Woman of San Nicholas' Not Myth: New Proof Found at Old Mission.""
""Island Woman's Origins Still Hotly Debated.""","96,
81,
N/A","298
112
N/A","22
20
11","August
February
July","1939
1944
1993","Tue Aug 22 1939 07:00:00 GMT+0300 (EAT)
Sun Feb 20 1944 07:00:00 GMT+0300 (EAT)
Sun Jul 11 1993 07:00:00 GMT+0300 (EAT)",,"Santa Barbara, California
Santa Barbara, California
Santa Barbara, California",
225,Sarnia (Ontario) Observer,"The <i>Sarnia Observer</i> (1853-current) is a daily newspaper founded by James Gemmill, out of Sarnia, Ontario. Originally a weekly called the <i>Lambton Observer and Western Advertiser</i>, it covered agriculture and politics but also published fiction. Since its founding, the paper has changed its name six times but has maintained the <i>Observer</i> as part of its title throughout its history. Sarnia is known for its prominent oil industry.","Edward Phelps and Charles Whipp, <i>Sarnia</i> (Canada: Windsor, 1987), accessed June 28, 2016, eBook. George Matthewson, ""John Raeside Gemmill and the Sarnia Observer,"" <i>Sarnia Historical Society</i>, accessed June 28, 2016. ""Overview,"" <i>Sarnia, Ontario, Canada</i>, accessed June 28, 2016.",TheSarniaObserver1898,newspaper-article,,"""An Indian Mother. The Story of a Lone Woman on A Deserted Island. Jumped Into the Ocean and Swam Ashore to Find Her Babe--Failing to Recover the Child, She Lived Alone on the Islands For Eighteen Years.""","45,",5,4,February,1898,1898-02-04,,"Sarnia, Ontario",
226,Los Angeles Saturday Post,"The <i>Saturday Post</i> (1899-?) was founded by Abbot Kinney out of Los Angeles, California. Kinney was one of the founders of the resort town of Venice, California. The paper (circulation of 11,200 in 1901) published fiction for a family audience but also printed political articles; it had Democratic leanings. Los Angeles had a population of 102, 479 in 1900.","J. M. Guinn, <i>Historical and Biographical Record of Los Angeles and Vicinity</i> (Chicago: Chapman, 1901), accessed July 4, 2016, eBook. <i>Pacific Monthly</i> (Portland, OR: Pacific Monthly, 1905), accessed July 4, 2016, eBook. ""The Saturday Post Enjoys Rapid Growth,"" <i>Los Angeles Herald</i>, July 12, 1901, accessed July 4, 2016. U.S. Census Bureau, ""1900 Census,"" accessed July 4, 2016, PDF.",FHDudley1901,newspaper-article,"Dudley, Mrs. F. H.","""The Tragedy of San Nicholas Island.""","3,",22,1,June,1901,1901-06-01,,"Los Angeles, California",
228,Scientific American,"The <i>Scientific American<i> (1845-current) is a monthly magazine founded by Rufus Porter out of New York. In addition to articles about science, the first few issues included poetry and fiction. The publication of literary material was discontinued when the paper was sold to Orson Desaix Munn and Alfred Ely Beach. The paper flourished under Munn & Company, who brought the circulation up to 50,000 in the late 1880s. The paper attracted many different inventors and scientists, such as Samuel J. Morse and Thomas Edison; they were especially known for their role in setting up a patent office for their inventors. The <i>Scientific American</i> is the longest running magazine in the United States.","""About Scientific American,"" <i>Scientific American</i>, accessed June 29, 2016. Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 29, 2016, eBook.",Holder1899,magazine-article,"Holder, Charles Frederick","""The Wind-Swept Isle of San Nicolas.""","81,",15,7,October,1899,1899-10-07,,"New York, New York",
232,Shipwrecked Mariner,"The <i>Shipwrecked Mariner</i> (1854-83) was a quarterly magazine founded by the Shipwrecked Mariners’ Society out of London, England, United Kingdom. The magazine featured stories of shipwrecks and reported on other maritime news. It was edited by George Morrish, and later by W.R. Buck. It had a circulation of about 9,500 in 1871.","<i>Gospel Magazine and Protestant Beacon</i> (London: W. H. Collingridge, 1859), accessed April 3, 2016, eBook.<i>Nautical Magazine for 1871</i> (London: Simpkin, Marshall, 1871), accessed April 3, 2016, eBook. ""The Shipwrecked Mariner,"" <i>HathiTrust</i>, accessed April 3, 2016. W.R. Buck, ed., <i>The Shipwrecked Mariner, Volume 32</i> (London: Fisher T. Unwin, 1885), accessed April 3, 2016, eBook.",ShipwreckedMariner1879,magazine-article,,"""A Female Crusoe.""",20,,,January,1879,1879-01-01,T.F. Unwin,"London, England, United Kingdom",
233,"Sierra Educational News (San Francisco, CA)","The <i>Sierra Education News</i>(1904-?) was a journal originally published by C. C. Boynton, Calvin Esterly, and Edward C. Boynton out of San Francisco, with another office in Southern Califonia. In 1909, the journal became the main publication of the California Teachers Association. Vaughan MacCaughey was the editor in the 1930s.","""Editorial Notes,"" <i>Western Journal of Education</i> 23 no. 3 (1917): 12, accessed July 26, 2016, eBook. ""Educator to Go on Radio,"" <i>Ukiah Republican Press</i>, April 14, 1937, accessed July 26, 2016. <i>Los Angeles School Journal</i> 13 (1929): 12, accessed July 26, 2016, eBook. Roy W. Cloud, ""Starting of the ‘Sierra Educational News,’"" <i>Education in California</i> (Standford: Stanford University Press, 1952), accessed July 26, 2016, eBook.",Woodward1931,journal-article,"Woodward, Arthur.","""An Indian Woman, San Nicolas Island, Santa Barbara Channel.""",,,,March,1931,1931-03-01,,"San Francisco, California",
234,Skaneateles (NY) Free Press,"The <i>Skaneateles Free Press</i> (1874-current) is a weekly newspaper founded by John C. Stevenson out of Skaneateles, New York. Stephenson still ran the paper in the early 1920s. The ""Free"" was dropped from the <i>Skaneateles Press</i>’s name in 1926. Skaneatles (pop. 4,247 in 1920), located in the Skaneateles Lake area southwest of Syracuse, was known for its tourism.","""About Skaneateles press. (Skaneateles, N.Y.) 1926-current,"" <i>Chronicling America</i>, accessed July 25, 2016. ""Cayuga County is Strong for Co-operation,"" <i>Fourth Estate</i> July 5, 1919, accessed July 25, 2016. Dwight Hall Bruce, ed., ""John C. Stephenson,"" <i>Onondaga’s Centennial: Gleanings of a Century, Volume 2,"" (Boston: Boston History, 1896), accessed July 25, 2016. ""Skaneateles Town & Village History,"" <i>Skaneateles Historical Society</i>, accessed July 15, 2016. U.S. Census Bureau, ""1920 Census,"" accessed July 25, 2016, PDF.",SkaneatelesFreePress1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters."" ","48, ",20,19,July,1921,1921-07-29,,"Skaneateles, New York ",
